removal_pct,edges,components,largest_component,isolated,cycle_rank,largest_lambda2
0,210,12,154,9,55,0.0013270687953765828
5,200,21,60,14,54,0.0035138392973081663
10,189,30,59,21,52,0.011451260397791247
15,178,39,32,25,50,0.02451850749633964
20,168,48,32,34,49,0.024505509949693936
25,158,54,23,37,45,0.15207103450495357
30,147,63,23,44,43,0.09651429265372294
35,136,71,23,51,40,0.08104014096124675
40,126,81,22,61,40,0.08527046224935464
45,116,89,21,68,38,0.08292069386496799
50,105,97,20,76,35,0.08870866940590706
