route,n,trains,avg,p95,within5
Dublin Heuston -> Portlaoise,4530,223,0.8044150110375275,6.0,94.37086092715232
Malahide -> Bray,10240,370,2.29404296875,9.0,86.26953125
Portlaoise -> Dublin Heuston,4749,238,2.1006527690040007,8.0,89.68203832385765
Drogheda -> Grand Canal Dock,1662,138,2.072202166064982,9.0,87.12394705174489
Greystones -> Howth,6442,224,1.7357963365414468,8.0,89.58398013039428
Maynooth -> Dublin Pearse,273,20,0.8021978021978022,5.0,94.87179487179488
Dublin Connolly -> Sligo,1568,109,3.600765306122449,15.0,77.4234693877551
Greystones -> Malahide,4949,173,1.6425540513234997,7.0,92.09941402303495
Bray -> Howth,10761,388,1.6646222470030667,7.0,91.54353684601803
Howth -> Bray,10404,375,1.9292579777008843,8.0,87.82199154171472
Howth -> Greystones,6525,228,2.861455938697318,10.0,85.62452107279694
Grand Canal Dock -> Maynooth,1212,82,2.033003300330033,9.0,88.11881188118812
Bray -> Malahide,9887,358,1.485991706280975,7.0,92.38393850510772
Malahide -> Greystones,4875,170,2.2424615384615385,9.0,85.96923076923076
Dublin Heuston -> Westport,541,48,5.992606284658041,23.0,70.79482439926063
M3 Parkway -> Docklands,1121,117,1.136485280999108,6.0,94.64763603925067
Grand Canal Dock -> Hazelhatch,3175,176,0.18866141732283465,4.0,97.19685039370079
Grand Canal Dock -> Drogheda,1669,135,2.3696824445775913,9.0,86.03954463750749
Dublin Connolly -> Rosslare Europort,774,53,3.86046511627907,13.0,77.39018087855297
Dublin Connolly -> Hazelhatch,498,32,2.8775100401606424,8.0,82.53012048192771
Dublin Connolly -> Newbridge,373,21,0.44235924932975873,3.0,99.46380697050938
Dublin Connolly -> Belfast,1171,195,3.3979504696840306,12.0,78.05294619982921
Dublin Connolly -> Drogheda,1720,171,1.7627906976744185,7.0,90.52325581395348
Maynooth -> Dun Laoghaire,187,11,1.304812834224599,6.0,93.58288770053476
Grand Canal Dock -> Longford,205,11,4.463414634146342,20.0,69.26829268292683
Dublin Pearse -> Maynooth,559,40,2.4329159212880143,8.0,84.61538461538461
Bray -> Drogheda,178,11,2.5224719101123596,7.0,91.01123595505618
Waterford -> Limerick Junction,141,24,0.02127659574468085,0.0,99.29078014184397
Athenry -> Galway,105,35,0.0,0.0,100.0
Galway -> Athenry,72,24,0.0,0.0,100.0
Manulla Junction -> Ballina,340,114,0.0,0.0,100.0
Belfast -> Dublin Connolly,1162,196,0.38209982788296043,6.0,94.40619621342513
Tralee -> Mallow,349,51,0.0,0.0,100.0
Cork -> Cobh,2519,360,0.0,0.0,100.0
Cobh -> Cork,2518,360,0.0,0.0,100.0
Cobh -> Mallow,296,37,0.0,0.0,100.0
Midleton -> Cork,1840,370,0.0,0.0,100.0
Cork -> Midleton,1680,338,0.0,0.0,100.0
Westport -> Athlone,89,13,0.0,0.0,100.0
Docklands -> M3 Parkway,1261,119,2.2783505154639174,8.0,86.51863600317209
Tralee -> Cork,306,39,1.6339869281045751,9.0,87.90849673202614
Limerick -> Galway,551,62,0.0,0.0,100.0
Hazelhatch -> Dublin Connolly,417,32,0.18705035971223022,4.0,97.3621103117506
Hazelhatch -> Grand Canal Dock,2601,147,0.9281045751633987,6.0,94.8481353325644
Newbridge -> Dublin Heuston,1318,78,1.507587253414264,8.0,92.03338391502277
Limerick -> Limerick Junction,389,195,-0.13881748071979436,4.0,97.94344473007712
Limerick Junction -> Limerick,324,162,1.3888888888888888,9.0,89.19753086419753
Maynooth -> Dublin Connolly,4239,355,1.3104505779665014,7.0,91.69615475347959
Maynooth -> Grand Canal Dock,1197,80,1.6349206349206349,8.0,87.96992481203007
Sligo -> Dublin Connolly,1556,107,3.4511568123393315,13.0,82.51928020565553
Dublin Heuston -> Waterford,1134,110,2.7566137566137567,9.0,84.39153439153439
Limerick Junction -> Ennis,143,36,2.055944055944056,7.0,87.41258741258741
Cork -> Dublin Heuston,1191,198,1.1343408900083962,8.0,89.67254408060454
Drogheda -> Dublin Connolly,1847,177,1.39469409853817,7.0,93.6654033567948
Dublin Heuston -> Limerick,402,51,2.0323383084577116,5.0,95.77114427860697
Dublin Heuston -> Cork,1226,198,3.4127243066884176,12.0,80.0163132137031
Newbridge -> Grand Canal Dock,1061,57,1.4844486333647502,8.0,91.23468426013196
Galway -> Dublin Heuston,1449,143,0.5734989648033126,7.0,92.82263630089717
Carlow -> Dublin Heuston,202,29,1.1782178217821782,5.0,95.04950495049505
Dublin Heuston -> Galway,1394,144,18.606169296987087,118.0,70.22955523672884
Waterford -> Dublin Heuston,904,109,1.420353982300885,9.0,88.60619469026548
Westport -> Dublin Heuston,774,65,1.024547803617571,8.0,92.76485788113695
Dun Laoghaire -> Dundalk,178,11,3.859550561797753,10.0,67.41573033707866
Bray -> Maynooth,200,10,2.15,6.0,93.5
Dublin Connolly -> Maynooth,3918,333,2.01888718734048,8.0,89.50995405819296
Grand Canal Dock -> Dundalk,646,41,0.6671826625386997,5.0,95.04643962848297
Grand Canal Dock -> Newbridge,519,29,1.6608863198458574,7.0,88.0539499036609
Limerick -> Ballybrophy,172,26,0.0,0.0,100.0
Galway -> Limerick,453,51,0.0,0.0,100.0
Ballina -> Manulla Junction,341,114,0.0,0.0,100.0
Ennis -> Limerick,201,71,0.0,0.0,100.0
Mallow -> Tralee,350,51,1.5114285714285713,5.0,96.57142857142857
Mallow -> Cobh,288,36,0.5763888888888888,3.0,96.52777777777777
Rosslare Europort -> Dublin Connolly,787,50,1.1944091486658195,7.0,93.01143583227446
Dublin Heuston -> Tralee,193,17,2.699481865284974,12.0,83.93782383419689
Galway -> Athlone,175,25,1.0514285714285714,17.0,93.14285714285714
Galway -> Ennis,112,16,0.0,0.0,100.0
Dublin Connolly -> Wexford,130,10,5.753846153846154,56.0,90.0
Dublin Connolly -> Longford,80,10,4.45,27.0,76.25
Ballybrophy -> Limerick,171,25,0.04678362573099415,0.0,98.83040935672514
Limerick Junction -> Waterford,138,23,0.7681159420289855,9.0,90.57971014492753
Bray -> Dublin Connolly,376,25,0.6914893617021277,5.0,95.2127659574468
Dublin Connolly -> Gorey,109,10,-0.3394495412844037,2.0,100.0
M3 Parkway -> Dublin Connolly,294,29,0.7346938775510204,6.0,94.21768707482993
M3 Parkway -> Clonsilla,688,172,-0.061046511627906974,1.0,99.56395348837209
Dublin Connolly -> Mullingar,150,10,0.8733333333333333,4.0,98.0
Athlone -> Westport,256,32,1.47265625,5.0,96.09375
Clonsilla -> M3 Parkway,704,176,0.6193181818181818,5.0,97.44318181818181
Cork -> Tralee,336,42,2.3333333333333335,5.0,95.53571428571429
Cork -> Mallow,122,61,0.0,0.0,100.0
Wexford -> Dublin Connolly,130,10,1.6692307692307693,9.0,93.84615384615384
Mallow -> Cork,64,32,0.34375,2.0,96.875
Howth -> Dublin Connolly,260,26,1.1846153846153846,8.0,89.61538461538461
Malahide -> Dublin Connolly,140,14,-0.7,1.0,100.0
Dublin Heuston -> Kildare,216,12,-0.05092592592592592,3.0,99.07407407407408
Greystones -> Dublin Connolly,299,15,3.157190635451505,26.0,79.59866220735786
Limerick -> Dublin Heuston,419,56,0.5894988066825776,9.0,92.12410501193317
Dundalk -> Dublin Connolly,107,11,0.056074766355140186,2.0,99.06542056074767
Gorey -> Dublin Connolly,154,11,0.3051948051948052,2.0,100.0
Dublin Connolly -> Howth,20,2,0.85,2.0,100.0
Dublin Connolly -> Bray,380,20,0.45263157894736844,3.0,100.0
Tralee -> Dublin Heuston,176,17,0.11363636363636363,3.0,95.45454545454545
Kildare -> Dublin Heuston,198,11,0.6868686868686869,6.0,91.41414141414141
Mallow -> Midleton,186,31,0.23118279569892472,1.0,97.31182795698925
Dublin Pearse -> Malahide,24,2,1.7083333333333333,3.0,100.0
Athlone -> Galway,28,4,58.42857142857143,156.0,42.857142857142854
Athlone -> Dublin Heuston,126,12,1.4761904761904763,20.0,88.88888888888889
Nenagh -> Ballybrophy,8,2,0.0,0.0,100.0
Charleville -> Cork,11,4,-0.5454545454545454,0.0,100.0
Ballybrophy -> Nenagh,8,2,0.0,0.0,100.0
Limerick -> Ennis,95,35,0.0,0.0,100.0
Ennis -> Limerick Junction,48,12,0.0,2.0,100.0
Dublin Connolly -> Lansdowne Road,50,10,1.84,7.0,76.0
Dublin Heuston -> Athlone,82,11,2.926829268292683,6.0,84.14634146341463
Lansdowne Road -> Malahide,39,3,7.0256410256410255,19.0,48.717948717948715
Lansdowne Road -> Bray,30,2,6.433333333333334,10.0,36.666666666666664
Lansdowne Road -> Howth,26,2,3.8846153846153846,9.0,53.84615384615385
Dublin Connolly -> Dundalk,162,15,2.9814814814814814,22.0,92.5925925925926
Dublin Connolly -> Greystones,40,2,0.0,2.0,100.0
Cork -> Killarney,6,1,0.5,1.0,100.0
Killarney -> Cork,6,1,0.0,0.0,100.0
Dublin Heuston -> Newbridge,1040,67,-0.2221153846153846,2.0,97.11538461538461
Dundalk -> Grand Canal Dock,247,19,1.1133603238866396,4.0,99.59514170040485
Dublin Heuston -> Carlow,95,19,2.768421052631579,9.0,82.10526315789474
Drogheda -> Dundalk,6,3,0.0,0.0,100.0
Longford -> Dublin Pearse,171,9,0.17543859649122806,5.0,98.83040935672514
Longford -> Grand Canal Dock,180,9,-0.14444444444444443,2.0,100.0
Dundalk -> Bray,189,9,1.3597883597883598,6.0,89.94708994708995
Tullamore -> Galway,81,9,47.25925925925926,172.0,60.49382716049383
Dublin Connolly -> Malahide,90,9,3.3555555555555556,5.0,98.88888888888889
Drogheda -> Dublin Pearse,450,36,1.1933333333333334,7.0,92.88888888888889
Maynooth -> Bray,180,9,1.7222222222222223,7.0,92.77777777777777
Dublin Pearse -> Drogheda,252,18,0.8888888888888888,5.0,97.61904761904762
Drogheda -> Dun Laoghaire,162,9,3.049382716049383,20.0,82.09876543209876
Drogheda -> Bray,171,9,1.871345029239766,8.0,86.54970760233918
Nenagh -> Limerick,36,9,0.3333333333333333,2.0,100.0
Thurles -> Limerick,27,9,0.6296296296296297,5.0,100.0
Hazelhatch -> Dublin Heuston,135,9,-0.2518518518518518,0.0,100.0
Ennis -> Galway,35,5,0.0,0.0,100.0
Lansdowne Road -> Greystones,32,2,5.71875,13.0,56.25
Dublin Heuston -> Charleville,5,1,-0.8,1.0,100.0
Longford -> Dublin Connolly,17,1,1.2941176470588236,5.0,100.0
Mullingar -> Dublin Connolly,15,1,1.2,4.0,100.0
Drumcondra -> Maynooth,22,2,43.18181818181818,54.0,9.090909090909092
Drumcondra -> Longford,15,1,32.733333333333334,38.0,6.666666666666667
Drumcondra -> Mullingar,14,1,31.285714285714285,35.0,7.142857142857143
